patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,PAM50
TCGA-A2-A0EW-01,0.0,0.0,0.0,47.854733,10.198516,0.0,0.0,21.434078,15.76676,0.0,0.0,0.0,2.6237185,8.303747,0.0,0.0,0.0,0.0,38.94312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.053338,39.761288,0.0,27.135513,0.0,23.268888,0.0,0.0,0.0,0.0,0.0,0.0,64.818306,0.0,0.0,0.0,56.822075,0.0,9.5511465,0.0,0.0,0.0,78.21728,0.0,31.850191,0.0,0.0,0.0,20.993488,0.0,0.0,0.33726585,0.0,0.0,0.0,LumA
TCGA-A2-A0T3-01,0.0,0.0,0.0,0.0,0.0,0.0,15.527271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.074693,7.3876185,0.0,8.9591255,21.898552,0.22562599,0.0,10.551702,0.0,3.1927283,0.0,0.0,0.0,11.487684,0.0,0.0,0.0,0.0,36.857086,0.0,0.0,0.0,7.880592,21.369997,0.0,0.0,3.058767,0.0,36.48306,0.0,0.0,0.0,15.281988,0.0,0.0,0.0,0.0,0.0,25.47072,0.0,0.0,LumB
TCGA-A2-A1FV-01,0.0,0.0,0.0,19.386438,5.1600175,0.0,0.0,23.47513,3.1066382,0.0,0.0,0.0,0.0,5.144251,0.0,0.0,0.0,0.0,16.748743,3.718297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.465643,0.0,0.0,18.37452,0.0,13.218745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.71027,0.0,0.0,0.0,15.975187,0.0,6.5640726,0.0,4.155707,0.0,38.356667,0.0,11.182246,0.0,0.0,0.0,8.173012,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-A2-A1FW-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.356365,10.25069,0.0,0.0,0.0,0.0,0.0,0.0,3.9028904,0.0,3.4940689,0.0,0.0,0.0,42.099552,0.0,14.892935,1.9751699,25.648136,33.39824,33.694824,0.0,0.0,0.0,0.0,0.0,10.039324,0.0,0.0,0.0,31.471964,45.590164,0.0,0.0,0.0,0.0,29.956776,0.0,0.0,0.060685687,0.0,15.709508,0.0,0.0,7.4801984,0.0,0.0,10.028566,0.0,0.0,0.0,12.330592,0.0,0.0,LumB
TCGA-A2-A1FX-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.780567,11.475857,0.0,0.0,0.0,0.0,0.0,0.0,4.309164,0.0,0.68116456,0.0,0.0,0.0,54.926895,0.0,19.44802,8.689024,28.595552,39.10204,39.624382,0.0,0.0,0.0,0.0,0.0,14.423868,0.0,0.0,0.0,36.574017,56.11551,0.0,0.0,0.0,0.0,36.206158,0.0,0.0,0.7397074,0.0,22.583136,0.0,0.0,4.224724,0.0,0.0,14.009935,0.0,0.0,0.0,16.134295,0.0,0.0,LumB
TCGA-A2-A1FZ-01,0.0,0.0,0.0,27.468365,4.6873803,0.0,0.0,10.306101,12.238849,0.0,0.0,0.0,5.2266436,12.032867,0.0,0.0,0.0,0.0,14.544831,0.0,0.0,0.0,0.0,0.0,15.47907,8.488249,0.0,0.0,0.0,0.0,10.106173,0.0,4.145751,1.2636136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.145435,0.0,0.0,0.0,19.775455,0.0,5.055578,0.0,0.107324496,0.0,28.74904,0.0,31.944328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-A2-A1G0-01,0.0,0.0,0.0,45.15116,8.01891,0.0,0.0,25.418695,10.812527,0.0,0.0,0.0,3.4041092,12.441144,0.0,0.0,0.0,0.0,35.46854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.061535,0.0,22.344105,0.0,12.194986,0.0,0.0,0.0,0.0,0.0,0.0,56.40351,0.0,0.0,0.0,44.320564,0.0,12.338841,0.0,0.0,0.0,71.951614,0.0,29.49809,0.0,0.0,0.0,19.33525,0.0,0.0,0.0,0.0,0.0,0.0,LumA
TCGA-A2-A1G1-01,0.0,0.0,0.0,0.0,58.0789,0.0,0.0,0.0,0.0,4.9692,0.0,0.0,31.702595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5201807,0.0,0.0,0.0,0.0,16.688084,0.0,0.0,13.442993,51.68675,0.0,23.37628,16.868355,0.0,0.0,0.0,0.0,0.0,17.998743,0.0,0.0,81.167496,0.0,0.0,0.0,0.0,7.2342043,0.0,0.0,0.0,0.0,0.0,0.0,Basal
TCGA-A2-A1G4-01,0.0,0.0,0.0,0.0,3.6284003,0.0,0.0,0.0,0.0,0.0,32.86542,14.452625,0.0,0.0,0.0,0.0,0.0,0.0,9.2407,0.0,0.0,0.0,0.0,0.0,55.191624,0.0,11.253124,9.942741,19.177158,26.658442,34.896557,0.0,0.0,0.0,0.0,0.0,9.277572,0.0,0.0,0.0,27.237135,54.14933,0.0,0.0,0.0,0.0,22.90873,0.0,0.0,0.48783576,0.0,31.591156,0.0,0.0,0.0,0.0,0.0,16.551325,0.0,0.0,0.0,11.308079,0.0,0.0,LumB
TCGA-A2-A259-01,0.0,0.0,0.0,6.756663,25.275408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.766324,0.0,0.0,0.0,0.0,32.81511,0.0,0.0,0.0,0.0,0.0,20.52241,16.950499,0.0,0.0,0.0,20.084352,23.884119,0.0,27.529148,3.7259989,0.0,0.0,29.99543,0.0,0.0,0.0,0.0,22.884907,0.0,0.0,0.0,16.575363,9.959562,3.3210802,0.0,0.0,0.0,26.59306,0.0,1.0910809,0.0,0.0,0.0,18.65611,0.0,0.0,2.8059921,0.0,0.0,0.0,LumA
