,precision,recall,f1-score,support
Basal,0.9285714285714286,0.9154929577464789,0.9219858156028369,71.0
Her2,0.7,0.6666666666666666,0.6829268292682927,42.0
LumA,0.9120370370370371,0.9162790697674419,0.91415313225058,215.0
LumB,0.7339449541284404,0.7476635514018691,0.7407407407407407,107.0
accuracy,0.8505747126436781,0.8505747126436781,0.8505747126436781,0.8505747126436781
macro avg,0.8186383549342265,0.8115255613956142,0.8149516294656125,435.0
weighted avg,0.8504566539845458,0.8505747126436781,0.8504508101843763,435.0
